gaia_source_id,sdssj_name_green
769057393778223104,114417.10+411506.2
3896954051069618560,114442.36+043641.9
4021491820432446976,114617.18+312329.3
846195693608770176,114700.87+580727.7
3911473308272561536,114715.79+074847.7
3796056713711527296,114731.69+003724.4
845087523327356544,114744.41+564905.3
3922708564761717248,114800.58+122833.9
768190978615020416,114807.41+401008.9
3924593853542162304,115012.79+160105.4
3794447853327071872,115057.09-012709.6
3897485527502437632,115255.58+055337.7
3919577224365489152,115334.46+115235.0
4031395671420056704,115350.14+350600.6
786950433691713920,115555.74+490012.1
3918538220237268608,115625.50+110359.3
4027499002211746560,115721.30+322405.2
3920371415358395904,115848.96+140922.3
4001217302757741568,115854.96+232234.6
4033320808905502336,115901.22+372538.2
3999217634704486144,115924.76+194651.2
863282177319668096,115929.28+640501.8
4007873922246315904,120021.48+283419.1
4033515254960381184,120024.09+381720.3
3893231551374409728,120031.66+035002.8
4026700962928165376,120034.27+321102.7
3898740826184446976,120231.83+065856.2
1582284334306452096,120241.19+604322.6
1573247894914600960,120246.06+541929.6
3602563596600233984,120259.48-010900.5
3925793798685088256,120429.99+170202.0
1575589889041906304,120506.14+580423.8
4013915291964448000,120529.46+291846.2
4003117022627709568,120603.77+253956.6
1548431475096596480,120644.71+510107.3
4030517299068579840,120706.99+370039.3
1539230791857651968,120711.55+443212.0
3925614745793288832,120714.56+164112.3
3698751446481826432,120853.36-000847.3
1537011221479109376,120906.99+413157.3
4012999428843302912,120914.48+281558.9
3601343654088708608,120941.74-023931.7
1537452641037724160,121056.18+421726.5
4012750183300483840,121232.54+275036.1
3699356074797929088,121243.75+005722.2
1536194700951269632,121330.05+405555.7
1582660302859615488,121453.67+620742.9
3921263840844354176,121541.05+141432.8
4001651300612932736,121546.00+232415.8
3901325743661549952,121622.66+063414.5
4008611587174602368,121908.53+261458.8
3908864407698060544,121909.66+125754.9
3953315536800982656,121944.20+223628.3
3946542442094902400,122012.24+172210.1
3953241315470659072,122047.82+220703.3
1531327644011502976,122105.82+363931.2
1538751232989391360,122145.76+451342.0
4010000996209167616,122309.85+280728.1
1531278333491783808,122313.39+362107.4
1519197178898723328,122328.13+353251.9
1574097615540660736,122357.67+550151.7
3948941988783246336,122406.24+194927.9
1531494009569731968,122419.83+373524.0
3701659590313324160,122558.35+035923.4
3903829812674248960,122615.38+093001.9
3945830297861739136,122803.73+163540.1
3952475922233611776,122829.50+205747.0
1531789572038474368,122841.07+371919.8
3696448725535940864,122842.63-001921.5
1572364918357847552,122843.93+532937.7
3903713573679659648,122935.36+093052.9
3696482883412131456,123200.70-001604.6
1568832226154321536,123219.28+514928.5
3902442675676452352,123249.23+073914.2
3949526860249093760,123421.89+210021.2
3706509428729356032,123626.98+025901.8
3709944303053982336,123810.72+064819.3
3955610350711517824,123815.92+215645.0
3959668446266686464,123829.94+245409.3
3962547135211534464,123905.17+275912.6
1514762809852594816,123907.37+325729.4
3962152273098204416,123911.89+264513.9
3928688980304035072,123915.06+120753.3
1521519824197490432,123928.09+385539.7
3932644610823814656,123953.24+145246.1
4011078032273209856,124011.12+292216.3
4011510655739135488,124050.72+305954.4
1580085414130237696,124114.82+605402.8
3707493216758108288,124116.94+051942.1
3704009482884953600,124120.87+032848.2
1571406487815742080,124157.85+553851.5
1676879923849329280,124215.09+635616.6
1520491712106121344,124332.02+381208.0
3936027842462700672,124358.59+183042.7
3683402504676441344,124426.13-020655.6
3708745560501927680,124436.20+051309.0
1580689290827688064,124507.90+625203.9
1542591930185218432,124527.73+455842.9
1516957950453958784,124536.34+353549.3
3928877683987253248,124632.09+123846.9
3962818439705322880,124646.50+282522.3
3710667438107957632,124706.29+083459.2
3929049830572981504,124728.29+131054.5
1579743435950162048,124804.84+594334.3
1465343850989278080,125016.06+310214.5
3958070546634049536,125017.90+252427.6
3705798663181347328,125136.08+051038.1
1579021881444420096,125431.75+593053.5
1528442727363224448,125443.37+422857.5
1580383381781612928,125450.28+614842.3
1676636798636131968,125520.36+631326.6
3942474420871097728,125634.77+203644.8
1554963806819190656,125702.97+472733.7
3937624402065696896,125752.35+164218.1
1530280393547616512,125829.51+445206.8
3957382802111031936,125853.77+245705.3
3942513998993592064,125905.82+204138.2
3937582036508309888,125924.97+164432.6
1517307114115251328,125954.26+365350.4
3734369507188630144,125954.99+092646.7
1579424848160664576,130004.25+604149.8
1675687679582925952,130219.88+620559.0
1464293405068093824,130221.88+292315.2
3729351473558326784,130227.52+055512.3
